[Parallel(n_jobs=-1)]: Done 165 tasks      | elapsed:    8.5s
[Parallel(n_jobs=-1)]: Done 186 tasks      | elapsed:    9.3s
[Parallel(n_jobs=-1)]: Done 209 tasks      | elapsed:   10.2s
[Parallel(n_jobs=-1)]: Done 232 tasks      | elapsed:   11.3s
[Parallel(n_jobs=-1)]: Done 257 tasks      | elapsed:   12.3s
[Parallel(n_jobs=-1)]: Done 282 tasks      | elapsed:   13.4s
[Parallel(n_jobs=-1)]: Done 309 tasks      | elapsed:   14.5s
[Parallel(n_jobs=-1)]: Done 336 tasks      | elapsed:   15.7s
[Parallel(n_jobs=-1)]: Done 365 tasks      | elapsed:   16.8s
[Parallel(n_jobs=-1)]: Done 394 tasks      | elapsed:   17.9s
[Parallel(n_jobs=-1)]: Done 425 tasks      | elapsed:   19.0s
[Parallel(n_jobs=-1)]: Done 456 tasks      | elapsed:   20.3s
[Parallel(n_jobs=-1)]: Done 489 tasks      | elapsed:   21.7s
[Parallel(n_jobs=-1)]: Done 522 tasks      | elapsed:   23.2s
[Parallel(n_jobs=-1)]: Done 557 tasks      | elapsed:   24.5s
[Parallel(n_jobs=-1)]: Done 592 tasks      | elapsed:   25.7s
[Parallel(n_jobs=-1)]: Done 629 tasks      | elapsed:   27.5s
[Parallel(n_jobs=-1)]: Done 666 tasks      | elapsed:   28.9s
[Parallel(n_jobs=-1)]: Done 705 tasks      | elapsed:   30.4s
[Parallel(n_jobs=-1)]: Done 744 tasks      | elapsed:   32.2s
[Parallel(n_jobs=-1)]: Done 785 tasks      | elapsed:   33.6s
[Parallel(n_jobs=-1)]: Done 826 tasks      | elapsed:   35.5s
[Parallel(n_jobs=-1)]: Done 869 tasks      | elapsed:   37.1s
[Parallel(n_jobs=-1)]: Done 912 tasks      | elapsed:   38.9s
[Parallel(n_jobs=-1)]: Done 1000 out of 1000 | elapsed:   42.4s finished
[Parallel(n_jobs=-1)]: Using backend LokyBackend with 28 concurrent workers.
[Parallel(n_jobs=-1)]: Done   5 tasks      | elapsed:    4.1s
[Parallel(n_jobs=-1)]: Done  16 tasks      | elapsed:    4.2s
[Parallel(n_jobs=-1)]: Done  29 tasks      | elapsed:    6.8s
[Parallel(n_jobs=-1)]: Done  42 tasks      | elapsed:    7.0s
[Parallel(n_jobs=-1)]: Done  57 tasks      | elapsed:    9.6s
[Parallel(n_jobs=-1)]: Done  72 tasks      | elapsed:    9.9s
[Parallel(n_jobs=-1)]: Done  89 tasks      | elapsed:   12.5s
[Parallel(n_jobs=-1)]: Done 106 tasks      | elapsed:   13.1s
[Parallel(n_jobs=-1)]: Done 125 tasks      | elapsed:   15.6s
[Parallel(n_jobs=-1)]: Done 144 tasks      | elapsed:   18.2s
[Parallel(n_jobs=-1)]: Done 165 tasks      | elapsed:   19.2s
[Parallel(n_jobs=-1)]: Done 186 tasks      | elapsed:   21.5s
[Parallel(n_jobs=-1)]: Done 209 tasks      | elapsed:   24.2s
[Parallel(n_jobs=-1)]: Done 232 tasks      | elapsed:   26.9s
[Parallel(n_jobs=-1)]: Done 257 tasks      | elapsed:   29.4s
[Parallel(n_jobs=-1)]: Done 282 tasks      | elapsed:   32.2s
[Parallel(n_jobs=-1)]: Done 309 tasks      | elapsed:   35.0s
[Parallel(n_jobs=-1)]: Done 336 tasks      | elapsed:   37.7s
[Parallel(n_jobs=-1)]: Done 365 tasks      | elapsed:   40.5s
[Parallel(n_jobs=-1)]: Done 394 tasks      | elapsed:   43.4s
[Parallel(n_jobs=-1)]: Done 425 tasks      | elapsed:   46.6s
[Parallel(n_jobs=-1)]: Done 456 tasks      | elapsed:   49.8s
[Parallel(n_jobs=-1)]: Done 489 tasks      | elapsed:   53.0s
[Parallel(n_jobs=-1)]: Done 522 tasks      | elapsed:   56.4s
[Parallel(n_jobs=-1)]: Done 557 tasks      | elapsed:  1.0min
[Parallel(n_jobs=-1)]: Done 592 tasks      | elapsed:  1.1min
[Parallel(n_jobs=-1)]: Done 629 tasks      | elapsed:  1.1min
[Parallel(n_jobs=-1)]: Done 666 tasks      | elapsed:  1.2min
[Parallel(n_jobs=-1)]: Done 705 tasks      | elapsed:  1.3min
[Parallel(n_jobs=-1)]: Done 744 tasks      | elapsed:  1.3min
[Parallel(n_jobs=-1)]: Done 785 tasks      | elapsed:  1.4min
[Parallel(n_jobs=-1)]: Done 826 tasks      | elapsed:  1.5min
[Parallel(n_jobs=-1)]: Done 869 tasks      | elapsed:  1.5min
[Parallel(n_jobs=-1)]: Done 912 tasks      | elapsed:  1.6min
[Parallel(n_jobs=-1)]: Done 1000 out of 1000 | elapsed:  1.8min finished
[Parallel(n_jobs=-1)]: Using backend LokyBackend with 28 concurrent workers.
[Parallel(n_jobs=-1)]: Done   5 tasks      | elapsed:    7.0s
[Parallel(n_jobs=-1)]: Done  16 tasks      | elapsed:    7.3s
[Parallel(n_jobs=-1)]: Done  29 tasks      | elapsed:   12.6s
[Parallel(n_jobs=-1)]: Done  42 tasks      | elapsed:   13.1s
[Parallel(n_jobs=-1)]: Done  57 tasks      | elapsed:   18.2s
[Parallel(n_jobs=-1)]: Done  72 tasks      | elapsed:   19.1s
[Parallel(n_jobs=-1)]: Done  89 tasks      | elapsed:   24.1s
[Parallel(n_jobs=-1)]: Done 106 tasks      | elapsed:   25.5s
[Parallel(n_jobs=-1)]: Done 125 tasks      | elapsed:   30.4s
[Parallel(n_jobs=-1)]: Done 144 tasks      | elapsed:   35.5s
[Parallel(n_jobs=-1)]: Done 165 tasks      | elapsed:   38.5s
[Parallel(n_jobs=-1)]: Done 186 tasks      | elapsed:   43.1s
[Parallel(n_jobs=-1)]: Done 209 tasks      | elapsed:   47.8s
[Parallel(n_jobs=-1)]: Done 232 tasks      | elapsed:   53.0s
